COVID_Worry,COVID_Too_Much_Time,COVID_Lot_Time,COVID_Afraid,COVID_Irritable,COVID_Guilty,COVID_Sad,COVID_Preoccupied,COVID_Stressed
5.011256433,4.365592969,5.190342338,60.7,100,80.99,100,80.99,91.83
6,4,4,64.51,62.17047494,28.93827633,71.04707871,52.96,74.65
4,2,4,60.85,63.52,0,77.61,56.06,62.54
4.581816894,4.365592969,4.90026771,66.34,34.93,18.87,34.23,18.87,60.42
5,5,5,60,82.82,39.15,54.79,62.11,59.58
2,2,2,60.7,38.59,60.14,70.56,60.14,69.3
7,7,7,82.29114097,66.60600403,39.15512502,77.59661371,75.00045436,86.1561669
5,3,5,89.68,48.42,28.65,67.91,19.2,70.2
4.455631111,4.240941302,4.074122431,48.33246248,62.17047494,26.7404461,64.77850695,52.50573941,65.30428738
4.8703214,4.365592969,4.955090454,70.82,100,40.39,71.52,49.97,71.1
5,5,5,63.44909895,62.17047494,28.95877986,68.27323984,56.90320094,69.10171991
5,5,7,63.66,66.34,32.82,70.14,72.54,77.75
3.836561393,4.240941302,4.019299687,80.7,68.03,62.39,59.15,39.01,48.45
5,4,5,61.86745333,61.1306441,25.63038113,66.27447995,54.89931964,67.64313294
3,7,7,49.20168867,61.1306441,28.62064277,63.51162101,62.26298809,68.49242683
4,3,4,70.85,29.72,10.7,100,60.28,39.58
5,6,5,63.44909895,62.17047494,26.18471825,68.27323984,56.90320094,69.10171991
2,5,6,26.13,86.77,2.9,100,90,80.97
1,2,2,60.28,71.55,9.15,62.39,19.3,40.56
5,6,6,64.58553755,66.76,38.68,72.21587189,64.35539497,71.44599905
5.37979875,4.365592969,4.955090454,92.26,89.03,0,100,89.03,78.06
2,3,2,39.01,62.11,19.01,60.7,39.3,39.72
6,6,6,60.14,90.56,30.14,99.3,90.85,89.3
6,5,7,60.56,71.13,19.58,82.25,50,71.41
3.418049256,2.818220871,3.569195729,71.13,60.85,18.73,39.72,50.99,39.3
3,4,3,29.86,44.37,70.42,61.27,64.79,54.65
3.258702842,2.904241795,3.569195729,13.86,8.5,9.61,52.91,51.97,76.69
3,5,5,49.03064245,62.17047494,23.28731715,63.51162101,56.0151918,65.06226045
5.184136988,4.365592969,4.90026771,79.72,26.76,18.59,83.1,30,81.13
2,2,2,8.31,54.51,0,100,61.69,31.13
4.517166042,4.365592969,4.955090454,50.99,100,18.87,92.11,39.86,81.97
5,6,6,89.86,78.17,44.25061634,98.59,86.9,88.31
2,1,1,10.56,0,6.06,69.58,8.17,12.82
5,6,6,70.14,91.41,49.58,80.85,70.28,80.42
6,6,6,70.42,91.55,49.58,81.41,70.7,90.7
1,1,1,15.83365448,31.9290652,9.07668643,31.01435492,40.72793924,35.67948167
5,3,5,61.48406689,62.17047494,29.90947028,64.77850695,53.74812109,67.64313294
5,2,6,40.85,40.14,9.44,50.42,70.7,29.72
4,4,4,60.85,60.56,27.11023292,60.7,51.84552102,60.7
4,3,4,60.56,25.07,29.58,65.21,70.14,65.35
4,2,5,30,0,0,51.82235531,71.13,58.40530947
6,6,6,50.99,100,0.14,100,50.99,100
4.85262971,4.365592969,4.955090454,65.92,75.21,8.59,73.94,78.45,69.01
5,2,5,39.3,81.55,28.87,59.86,19.44,58.31
4.225253923,4.240941302,3.941087953,33.1,33.66,0,27.18,80.85,58.45
6,7,6,62.54,35.21,64.93,90.7,55.35,76.2
4.455631111,4.240941302,4.074122431,49.46890109,62.17047494,26.7404461,64.77850695,52.50573941,64.84065004
2,5,4,29.65,100,8.6,91.55,60.22,29.49
4,4,3,60.85,62.96,30,49.01,63.8,65.92
5,4,5,79.72,80.28,19.44,100,61.69,81.69
4.474004028,4.240941302,4.180100584,66.76,99.86,7.75,81.69,60.85,88.31
3,3,4,36.05,48.81,8.5,22.11,39.8,59.69
5,2,3,53.74397184,59.93700898,26.24362543,64.77850695,51.35454086,66.65085688
3,2,2,63.38,51.97,0,36.76,51.83,60
4.455631111,4.240941302,4.074122431,48.33246248,62.17047494,25.12974491,64.77850695,52.50573941,65.30428738
4,6,4,49.97,49.83,18.99,29.55,49.69,39.83
5,5,6,63.44909895,62.17047494,30.75077574,69.44203302,64.35539497,70.18754083
3,4,4,49.03064245,61.1306441,24.89801834,63.51162101,52.50573941,63.60367348
4,4,4,49.46890109,62.17047494,23.28731715,64.77850695,52.50573941,64.84065004
4,3,5,49.44,77.04,0,65.63,71.97,70
4,4,4,8.45,76.9,9.3,6.9,16.9,80.14
5,6,6,70.28,82.68,40.28,18.17,28.59,70.99
3,3,3,70.56,80.99,0,81.13,36.76,72.82
5,3,5,39.15,72.82,7.04,81.41,7.61,78.03
3,4,5,37.75,59.58,0,50.99,61.27,59.86
4.517166042,4.365592969,5.190342338,55.35,72.54,29.86,78.73,44.79,95.35
5,6,7,28.03,60.7,38.73,59.86,100,58.87
5,5,5,70.38,40.62,80.54,29.9,41.89,80.82
4,5,6,49.46890109,62.17047494,25.24714729,64.77850695,62.26298809,69.72940339
3,3,4,46.45141292,62.17047494,24.89801834,63.51162101,51.35454086,64.06731082
5.78028109,5.62842347,6.171027618,81.83,80.56,0,70,71.13,91.83
6,4,3,68.29401099,62.17047494,29.17574371,72.53092474,53.39374856,70.92234601
3,3,4,31.41,59.15,0,49.15,0,5.77
6,7,7,77.91,94.26,20.66,72.45,87.66,70.16
2,7,7,0,100,0,71.97,0,60.85
2,2,2,21.13,91.41,74.08,37.61,30,67.04
4,3,5,27.01,63.83,25.49,100,36.19,60.32
6,6,6,70.7,60,70.7,70.99,91.41,80.99
4.525859984,4.365592969,4.955090454,61.86745333,62.17047494,27.1163521,66.27447995,54.89931964,67.64313294
4.525859984,4.365592969,4.955090454,61.86745333,62.17047494,31.75189804,66.27447995,54.89931964,67.64313294
3,1,2,0,29.3,27.61,70.56,65.63,71.13
3,5,5,45.49378967,62.17047494,26.7404461,63.51162101,56.0151918,62.46550832
5,6,5,65.49,63.66,0,56.48,59.72,90.42
